"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2968","#Uruguay: Un sistema de cuidados adecuado para las necesidades de madres y padres es una parte esencial de una… https://t.co/EgOGwk21Oq",FALSE,6,NA,2018-08-28 20:30:35,TRUE,NA,"1034538757817622528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fesminismos",3,FALSE,FALSE,NA,NA
"2969","RT @SEGIBdigital: La Secretaria General Iberoamericana @RGrynspan dialogó con el presidente de #Uruguay 🇺🇾 Tabaré Vázquez sobre la agenda d…",FALSE,0,NA,2018-08-28 20:30:28,FALSE,NA,"1034538728927227904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maxseitz",13,TRUE,FALSE,NA,NA
"2970","RT @ilkaolivacorado: Una guía para apoyar y fortalecer la labor docente en educación sexual 
Más allá de la #miscelaneo #uruguay https://t.…",FALSE,0,NA,2018-08-28 20:29:16,FALSE,NA,"1034538426954133505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Solineszunin",1,TRUE,FALSE,NA,NA
"2971","RT @YerbaSaraUy: Parque Rodó, la Rambla de Mercedes, el Cerro San Antonio, la Ciudad Vieja, Fortaleza del Cerro, la casa de ese amigo mater…",FALSE,0,NA,2018-08-28 20:29:02,FALSE,NA,"1034538368099606532",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gustavoben1404",4,TRUE,FALSE,NA,NA
"2972","Una guía para apoyar y fortalecer la labor docente en educación sexual 
Más allá de la #miscelaneo #uruguay https://t.co/RWWJyiDFxg",FALSE,1,NA,2018-08-28 20:28:34,FALSE,NA,"1034538251338633217",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","ilkaolivacorado",1,FALSE,FALSE,NA,NA
"2973","RT @Nicolasalvarez0: De la misma forma que hay un #Partido #Único manejando al #Uruguay, y en los temas centrales todos los partidos están…",FALSE,0,NA,2018-08-28 20:28:33,FALSE,NA,"1034538248079659009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RomeroDacos28",101,TRUE,FALSE,NA,NA
"2974","#foucaultparaencapuchadas #queenluddeditora #manadadelobas 
#chile #españa #mexico #argentina #paraguay #costatica… https://t.co/yJ5Be20Jpm",FALSE,0,NA,2018-08-28 20:25:55,TRUE,NA,"1034537582707785728",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LeonorSilvestri",0,FALSE,FALSE,NA,NA
"2975","RT @emekavoces: #URUGUAY #RutaDelDineroK El Fiscal Luis Pacheco, en base a declaraciones de José López (exsecretario de Obras Públicas K) t…",FALSE,0,NA,2018-08-28 20:24:43,FALSE,NA,"1034537284194983936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hermanas_malas",30,TRUE,FALSE,NA,NA
"2976","RT @jgamorin: Las reglas de juego deben ser claras y firmes para todos

Actores tienen derechos y deberes y el Estado debe garantizarlos. A…",FALSE,0,NA,2018-08-28 20:24:39,FALSE,NA,"1034537263521325056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","53elgordo",29,TRUE,FALSE,NA,NA
"2977","RT @FabianBia: Piriápolis.
#Uruguay https://t.co/eg3nnkCCqM",FALSE,0,NA,2018-08-28 20:24:11,FALSE,NA,"1034537149587185667",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicosilg",105,TRUE,FALSE,NA,NA
